Size	Density	Value
95	0.4	0
95	0.45	12
95	0.5	25
95	0.55	47
95	0.6	409
95	0.65	409
95	0.7	409
95	0.75	5817
95	0.8	6041
95	0.85	7768
95	0.9	77933
95	0.95	78514
95	1.0	414880
100	0.0	0
100	0.05	0
100	0.1	0
100	0.15	0
100	0.2	0
100	0.25	0
100	0.3	0
100	0.35	0
100	0.4	0
100	0.45	12
100	0.5	25
100	0.55	47
100	0.6	409
100	0.65	409
100	0.7	409
100	0.75	5817
100	0.8	6041
100	0.85	7768
100	0.9	77933
100	0.95	78514
100	1.0	414881
105	0.0	0
105	0.05	0
105	0.1	0
105	0.15	0
105	0.2	0
105	0.25	0
105	0.3	0
105	0.35	0
105	0.4	0
105	0.45	12
105	0.5	25
105	0.55	47
105	0.6	409
105	0.65	409
105	0.7	409
105	0.75	5817
105	0.8	6041
105	0.85	7768
105	0.9	77933
105	0.95	78514
105	1.0	414881
110	0.0	0
110	0.05	0
110	0.1	0
110	0.15	0
110	0.2	0
110	0.25	0
110	0.3	0
110	0.35	0
110	0.4	0
110	0.45	12
110	0.5	25
110	0.55	47
110	0.6	410
110	0.65	410
110	0.7	410
110	0.75	5819
110	0.8	6043
110	0.85	7770
110	0.9	77936
110	0.95	78517
110	1.0	414885
115	0.0	0
115	0.05	0
115	0.1	0
115	0.15	0
115	0.2	0
115	0.25	0
115	0.3	0
115	0.35	0
115	0.4	0
115	0.45	12
115	0.5	25
115	0.55	47
115	0.6	410
115	0.65	410
115	0.7	410
115	0.75	5819
115	0.8	6043
115	0.85	7770
115	0.9	77936
115	0.95	78517
115	1.0	414888
120	0.0	0
120	0.05	0
120	0.1	0
120	0.15	0
120	0.2	0
120	0.25	0
120	0.3	0
120	0.35	0
120	0.4	0
120	0.45	12
120	0.5	25
120	0.55	47
120	0.6	410
120	0.65	410
120	0.7	410
120	0.75	5819
120	0.8	6043
120	0.85	7771
120	0.9	77937
120	0.95	78518
120	1.0	414891
125	0.0	0
125	0.05	0
125	0.1	0
125	0.15	0
125	0.2	0
125	0.25	0
125	0.3	0
125	0.35	0
125	0.4	0
125	0.45	12
125	0.5	25
125	0.55	47
125	0.6	410
125	0.65	410
125	0.7	410
125	0.75	5819
125	0.8	6043
125	0.85	7771
125	0.9	77937
125	0.95	78518
125	1.0	414891
130	0.0	0
130	0.05	0
130	0.1	0
130	0.15	0
130	0.2	0
130	0.25	0
130	0.3	0
130	0.35	0
130	0.4	0
130	0.45	12
130	0.5	25
130	0.55	47
130	0.6	410
130	0.65	410
130	0.7	410
130	0.75	5819
130	0.8	6043
130	0.85	7771
130	0.9	77937
130	0.95	78518
130	1.0	414891
135	0.0	0
135	0.05	0
135	0.1	0
135	0.15	0
135	0.2	0
135	0.25	0
135	0.3	0
135	0.35	0
135	0.4	0
135	0.45	12
135	0.5	25
135	0.55	47
135	0.6	410
135	0.65	410
135	0.7	410
135	0.75	5819
135	0.8	6043
135	0.85	7771
135	0.9	77937
135	0.95	78518
135	1.0	414893
