Size	value
0	0
2	28092
4	36111
6	38016
8	38784
10	39134
12	39305
14	39428
16	39485
18	39516
20	39541
22	39561
24	39569
26	39574
28	39577
30	39578
32	39580
34	39581
36	39584
38	39585
40	39586
42	39587
44	39587
46	39587
48	39588
