Size	value
0	0
5	197734
10	344085
15	398532
20	409852
25	412825
30	413829
35	414223
40	414464
45	414582
50	414676
55	414728
60	414775
65	414811
70	414827
75	414846
80	414856
85	414872
90	414876
95	414880
100	414881
105	414881
110	414885
115	414888
120	414891
125	414891
130	414891
135	414893
140	414893
145	414893
150	414893
